date,humidity_missing,imputation
2023-01-15 18:00:00,1.63,-22.76
2023-01-15 19:00:00,,1.73
2023-01-15 20:00:00,1.64,-14.07
2023-01-15 21:00:00,1.83,1.74
2023-01-15 22:00:00,,1.78
2023-01-15 23:00:00,1.82,-32.58
2023-01-16 00:00:00,1.76,1.84
2023-01-16 01:00:00,,1.88
2023-01-16 02:00:00,1.96,-46.16
2023-01-16 03:00:00,1.77,1.91
2023-01-16 04:00:00,1.82,1.90
2023-01-16 05:00:00,1.78,-20.28
2023-01-16 06:00:00,1.78,-12.92
2023-01-16 07:00:00,,1.86
2023-01-16 08:00:00,1.75,-3.09
2023-01-16 09:00:00,,1.86
2023-01-16 10:00:00,1.78,-13.34
2023-01-16 11:00:00,1.79,-24.43
2023-01-16 12:00:00,1.74,-28.66
2023-01-16 13:00:00,1.61,-16.42
2023-01-16 14:00:00,1.68,-22.14
2023-01-16 15:00:00,1.64,-19.21
2023-01-16 16:00:00,1.65,-10.75
2023-01-16 17:00:00,1.56,-8.06
2023-01-16 18:00:00,1.68,-19.88
2023-01-16 19:00:00,1.85,-43.72
2023-01-16 20:00:00,1.73,-39.60
2023-01-16 21:00:00,1.71,1.73
2023-01-16 22:00:00,1.71,-14.96
2023-01-16 23:00:00,,1.76
2023-01-17 00:00:00,1.86,-41.34
2023-01-17 01:00:00,,1.78
2023-01-17 02:00:00,1.84,-34.67
2023-01-17 03:00:00,1.71,0.44
2023-01-17 04:00:00,,1.79
2023-01-17 05:00:00,1.76,-25.05
2023-01-17 06:00:00,1.89,-28.69
2023-01-17 07:00:00,1.75,-14.73
2023-01-17 08:00:00,1.87,-39.11
2023-01-17 09:00:00,1.69,-11.18
2023-01-17 10:00:00,1.83,-46.76
2023-01-17 11:00:00,1.82,-27.95
2023-01-17 12:00:00,1.83,-36.89
2023-01-17 13:00:00,1.76,-24.86
2023-01-17 14:00:00,1.59,-1.46
2023-01-17 15:00:00,1.68,-13.13
2023-01-17 16:00:00,,1.65
2023-01-17 17:00:00,,1.66
2023-01-17 18:00:00,1.64,-11.80
2023-01-17 19:00:00,1.54,3.12
2023-01-17 20:00:00,1.63,-7.98
2023-01-17 21:00:00,1.76,-24.23
2023-01-17 22:00:00,1.75,-22.31
2023-01-17 23:00:00,1.72,-16.42
2023-01-18 00:00:00,1.65,-16.46
2023-01-18 01:00:00,1.82,-37.71
2023-01-18 02:00:00,1.57,9.94
2023-01-18 03:00:00,1.78,-22.80
2023-01-18 04:00:00,1.85,-21.67
2023-01-18 05:00:00,1.80,-24.53
2023-01-18 06:00:00,1.78,-7.02
2023-01-18 07:00:00,1.87,-41.49
2023-01-18 08:00:00,1.94,-52.01
2023-01-18 09:00:00,,1.82
2023-01-18 10:00:00,,1.80
2023-01-18 11:00:00,1.80,-13.15
2023-01-18 12:00:00,1.76,1.76
2023-01-18 13:00:00,1.66,-19.29
2023-01-18 14:00:00,1.69,-30.90
2023-01-18 15:00:00,,1.63
2023-01-18 16:00:00,1.51,4.93
2023-01-18 17:00:00,1.72,-30.35
2023-01-18 18:00:00,1.72,-20.96
2023-01-18 19:00:00,1.75,-28.40
2023-01-18 20:00:00,1.71,-30.40
2023-01-18 21:00:00,,1.73
2023-01-18 22:00:00,1.86,-26.31
2023-01-18 23:00:00,1.85,-30.95
